Patent #	Patent Title	Lab	Issue Date	
7906401	Method of tuning threshold voltages of interdiffusible structures	"SPAWAR Systems Center, Pacific"	3/15/2011	
7900390	Light rail and accessory rail mount for vertical fore grip	"U.S. Army Armament Research, Development and Engineering Center"	3/8/2011	
7900622	Paintball marker with user selectable firing modes	"U.S. Army Armament Research, Development and Engineering Center"	3/8/2011	
7902931	Wideband non-linear circuits for implementation in frequency channel separation	"SPAWAR Systems Center, Pacific"	3/8/2011	
7903011	Differential current-mode translator in a sigma-delta digital-to-analog converter	"U.S. Army Armament Research, Development and Engineering Center"	3/8/2011	
7898484	Electrolytic fluid antenna	"SPAWAR Systems Center, Pacific"	3/1/2011	
7898250	Coupled fluxgate magnetometers for DC and time-varying target magnetic field detection	"SPAWAR Systems Center, Pacific"	3/1/2011	
7897907	System and method for increasing signal-to-noise ratio in optical-based sensor systems	"SPAWAR Systems Center, Pacific"	3/1/2011	
7899674	GUI for the semantic normalization of natural language	"SPAWAR Systems Center, Pacific"	3/1/2011	
7891078	Sensor-based feedback method for improved assembly of vacuum electronic devices	"SPAWAR Systems Center, Pacific"	2/22/2011	
7889151	Passive wide-band low-elevation nulling antenna	"SPAWAR Systems Center, Pacific"	2/15/2011	
7885001	Tilt lock mechanism and method for a moveable optical or display device	NAVSEA Crane	2/8/2011	
7879625	Preparation of SERS substrates on silica-coated magnetic microspheres	"SPAWAR Systems Center, Pacific"	2/1/2011	
7870689	Mount for firearms	"U.S. Army Armament Research, Development and Engineering Center"	1/18/2011	
7872747	Reflex sight	"U.S. Army Armament Research, Development and Engineering Center"	1/18/2011	
7866515	Paddle platform	"U.S. Army Armament Research, Development and Engineering Center"	1/11/2011	
7866083	Modular flashlight apparatus for firearm	"U.S. Army Armament Research, Development and Engineering Center"	1/11/2011	
7861452	Vertical foregrip leg extender	"U.S. Army Armament Research, Development and Engineering Center"	1/4/2011	
7861451	Folding stack plate for foregrips	"U.S. Army Armament Research, Development and Engineering Center"	1/4/2011	
7865277	Obstacle avoidance system and method	"SPAWAR Systems Center, Pacific"	1/4/2011	
7857921	"Nontoxic, noncorrosive phosphorus-based primer compositions"	"U.S. Army Armament Research, Development and Engineering Center"	12/28/2010	
7856749	Rail cover panel for a firearm	"U.S. Army Armament Research, Development and Engineering Center"	12/28/2010	
7854569	Underwater unmanned vehicle recovery system and method	"SPAWAR Systems Center, Pacific"	12/21/2010	
7852855	Method for controlling multi-user TCP/IP access over a satellite communication channel	"SPAWAR Systems Center, Pacific"	12/14/2010	
7845105	Firearm grip panel with interchangeable switch insert	"U.S. Army Armament Research, Development and Engineering Center"	12/7/2010	
7841120	Hand grip apparatus for firearm	"U.S. Army Armament Research, Development and Engineering Center"	11/30/2010	
7844145	MEMS-based multi-channel Fabry-Perot interferometer system with increased tuning range and resolution	"SPAWAR Systems Center, Pacific"	11/30/2010	
7843398	Tapered slot antenna EC method	"SPAWAR Systems Center, Pacific"	11/30/2010	
7841898	Connector adapter	NAVSEA Crane	11/30/2010	
7841122	Adaptable leg support for bipod assemblies	"U.S. Army Armament Research, Development and Engineering Center"	11/30/2010	
7836625	Low profile mount and foregrip for firearm	"U.S. Army Armament Research, Development and Engineering Center"	11/23/2010	
7836811	Tools for use with robotic systems	"SPAWAR Systems Center, Pacific"	11/23/2010	
7840518	System and method for object recognition utilizing fusion of multi-system probabalistic output	"SPAWAR Systems Center, Pacific"	11/23/2010	
7840506	System and method for geodesic data mining	"SPAWAR Systems Center, Pacific"	11/23/2010	
7823316	Adjustable gun rail lock	"U.S. Army Armament Research, Development and Engineering Center"	11/2/2010	
7823498	Vehicle protective structure	"U.S. Army Armament Research, Development and Engineering Center"	11/2/2010	
7823855	Grip with bipod	"U.S. Army Armament Research, Development and Engineering Center"	11/2/2010	
7818986	Multiple autofrettage	"U.S. Army Armament Research, Development and Engineering Center"	10/26/2010	
7818911	Target marking system having a gas laser assembly and a thermal imager	"U.S. Army Armament Research, Development and Engineering Center"	10/26/2010	
D626118	Bidirectional tilt antenna mount	"Tank-Automotive Research, Development and Engineering Center"	10/26/2010	
7819547	End cap switch for flashlight	"U.S. Army Armament Research, Development and Engineering Center"	10/26/2010	
7819062	Safety and arming device for high-G munitions	"U.S. Army Armament Research, Development and Engineering Center"	10/26/2010	
7822342	Secure quantum optical communications system and method	"SPAWAR Systems Center, Pacific"	10/26/2010	
7821450	System and method for transmitting GPS signals over a network	"SPAWAR Systems Center, Pacific"	10/26/2010	
7817697	Laser diode pumped solid-state dye laser and method for operating same	"SPAWAR Systems Center, Pacific"	10/19/2010	
7816995	Circulator canceller with increased channel isolation	"SPAWAR Systems Center, Pacific"	10/19/2010	
7814698	Connecting pieces for weapon rails	"U.S. Army Armament Research, Development and Engineering Center"	10/19/2010	
7817079	System and method for collection of global AIS and radar track information	"SPAWAR Systems Center, Pacific"	10/19/2010	
7810480	Crossbow accessory for lower receiver of rifle and related method	"U.S. Army Armament Research, Development and Engineering Center"	10/12/2010	
7811132	Electromagnetic interference protective backshells for cables	NAVSEA Crane	10/12/2010	
7811918	Electric current induced liquid metal flow and metallic conformal coating of conductive templates	Naval Postgraduate School	10/12/2010	
7810408	Energy absorbing mechanism of steering column supporting apparatus	"U.S. Army Armament Research, Development and Engineering Center"	10/12/2010	
7807930	High-voltage feed-through bushing with internal and external electric field grading elements	"SPAWAR Systems Center, Pacific"	10/5/2010	
7805776	Face protector and protective system	"U.S. Army Armament Research, Development and Engineering Center"	10/5/2010	
7802392	Tactical firearm systems and methods of manufacturing same	"U.S. Army Armament Research, Development and Engineering Center"	9/28/2010	
7800755	High-speed polarimeter having a multi-wavelength source	"SPAWAR Systems Center, Pacific"	9/21/2010	
7797875	Picatinny rail attachment	"U.S. Army Armament Research, Development and Engineering Center"	9/21/2010	
7798479	Method and apparatus for horizontal assembly of a high-voltage feed-through bushing	"SPAWAR Systems Center, Pacific"	9/21/2010	
7794102	LED dazzler	"U.S. Army Armament Research, Development and Engineering Center"	9/14/2010	
7779572	Bipod device for use with a firearm	"U.S. Army Armament Research, Development and Engineering Center"	8/24/2010	
7782265	Variable aspect ratio tapered slot antenna for extended low frequency response	"SPAWAR Systems Center, Pacific"	8/24/2010	
7777535	Coupled nonlinear elements for frequency down-conversion systems and methods	"SPAWAR Systems Center, Pacific"	8/17/2010	
7774913	Device and method for separating parts of acoustic sensors	NAVSEA Crane	8/17/2010	
7773043	Variable aspect ratio tapered slot antenna for increased directivity and gain	"SPAWAR Systems Center, Pacific"	8/10/2010	
7770317	Handguard system with clamp device	"U.S. Army Armament Research, Development and Engineering Center"	8/10/2010	
7773204	Apparatus and method for spatial encoding of a search space	"SPAWAR Systems Center, Pacific"	8/10/2010	
7773111	System and method for perceived image processing in a gaze tracking system	"U.S. Army Armament Research, Development and Engineering Center"	8/10/2010	
7765731	Quick release gun sight adapter	NAVSEA Crane	8/3/2010	
7765730	Assault rifle back-up sight rib and support structure	"U.S. Army Armament Research, Development and Engineering Center"	8/3/2010	
7762440	Ergonomic duty belt	"U.S. Army Armament Research, Development and Engineering Center"	7/27/2010	
7755825	Method of fabricating an optical modulator	"SPAWAR Systems Center, Pacific"	7/13/2010	
7751999	Method and system for field calibrating an ion mobility spectrometer or other trace vapor detection instrument	NAVSEA Crane	7/6/2010	
7744710	Impact resistant explosive compositions	"U.S. Army Armament Research, Development and Engineering Center"	6/29/2010	
7745800	Omni-directional solid-state thermal neutron detector	"SPAWAR Systems Center, Pacific"	6/29/2010	
7743545	Vertical foregrip leg extender	"U.S. Army Armament Research, Development and Engineering Center"	6/29/2010	
7743547	Firearm mount with embedded sight	"U.S. Army Armament Research, Development and Engineering Center"	6/29/2010	
7739939	Direct drive retrofit for rifles	"U.S. Army Armament Research, Development and Engineering Center"	6/22/2010	
7742415	Non-intrusive knowledge suite for evaluation of latencies in IP networks	"SPAWAR Systems Center, Pacific"	6/22/2010	
7737905	Broadband ferrite loaded loop antenna	"SPAWAR Systems Center, Pacific"	6/15/2010	
7735255	Offset accessory mount	"U.S. Army Armament Research, Development and Engineering Center"	6/15/2010	
7731380	Weapon mount tactical light trigger	"U.S. Army Armament Research, Development and Engineering Center"	6/8/2010	
7732767	Target marker having quantum cascade laser for thermally marking a target	"U.S. Army Armament Research, Development and Engineering Center"	6/8/2010	
7734129	Super-s multiple-tapped optical delay line	"SPAWAR Systems Center, Pacific"	6/8/2010	
7725595	Embedded communications system and method	Naval Postgraduate School	5/25/2010	
7721481	Head up display for firearms	"U.S. Army Armament Research, Development and Engineering Center"	5/25/2010	
7716748	Ballistic shield	"U.S. Army Armament Research, Development and Engineering Center"	5/18/2010	
7719384	Broadband channelized circulator	"SPAWAR Systems Center, Pacific"	5/18/2010	
7712241	Hand grip apparatus for firearm	"U.S. Army Armament Research, Development and Engineering Center"	5/11/2010	
7714671	"Wideband nonlinear ""channelizer"" for rapid processing of static and time-varying signals"	"SPAWAR Systems Center, Pacific"	5/11/2010	
7712242	Rail clamp mount	"U.S. Army Armament Research, Development and Engineering Center"	5/11/2010	
7710081	Electromechanical energy conversion systems	"U.S. Army Armament Research, Development and Engineering Center"	5/4/2010	
7708413	Corner cube chemical-biological agent sensor	"SPAWAR Systems Center, Pacific"	5/4/2010	
7711489	Trident probe groundwater exchange system	"SPAWAR Systems Center, Pacific"	5/4/2010	
7705319	CdZnTe device using constrained design for high-flux x-ray spectroscopic imaging applications	"U.S. Army Armament Research, Development and Engineering Center"	4/27/2010	
7701406	Variable height/thickness ratio tapered slot antenna for matching impedance and power handling	"SPAWAR Systems Center, Pacific"	4/20/2010	
7699047	Paintball marker with tool box	"U.S. Army Armament Research, Development and Engineering Center"	4/20/2010	
7700032	Formation of microspheres through laser irradiation of a surface	"SPAWAR Systems Center, Pacific"	4/20/2010	
7694450	"Removable optical sight mount adapted for use with M14, M1A and similar rifles and method for removably attaching an optical sight to a rifle"	"U.S. Army Armament Research, Development and Engineering Center"	4/13/2010	
7692573	"System and method for classification of multiple source sensor measurements, reports, or target tracks and association with uniquely identified candidate targets"	"SPAWAR Systems Center, Pacific"	4/6/2010	
7692596	VAR TSA for extended low frequency response method	"SPAWAR Systems Center, Pacific"	4/6/2010	
7690247	Autonomous biobuoy for detecting a characteristic of a marine biosphere and method of assembling the biobuoy	"SPAWAR Systems Center, Pacific"	4/6/2010	
7685767	Automated system and method for harvesting and multi-stage screening of plant embryos	"U.S. Army Armament Research, Development and Engineering Center"	3/30/2010	
7685758	Accessory rails for firearms and methods of operating the same	"U.S. Army Armament Research, Development and Engineering Center"	3/30/2010	
7685761	Trigger activating tactical light grip	"U.S. Army Armament Research, Development and Engineering Center"	3/30/2010	
7685922	Composite ballistic armor having geometric ceramic elements for shock wave attenuation	NAVSEA Carderock	3/30/2010	
D612970	Mountable light	"U.S. Army Armament Research, Development and Engineering Center"	3/30/2010	
7685759	Three-point clamp for firearm mounting rail	"U.S. Army Armament Research, Development and Engineering Center"	3/30/2010	
7685207	Adaptive web-based asset control system	NAVSEA Crane	3/23/2010	
7683709	Low frequency power amplifier employing high frequency magnetic components	"SPAWAR Systems Center, Pacific"	3/23/2010	
7682933	Wafer alignment and bonding	Air Force Research Lab	3/23/2010	
7679574	Tapered slot antenna EC method	"SPAWAR Systems Center, Pacific"	3/16/2010	
7676977	Bipod	"U.S. Army Armament Research, Development and Engineering Center"	3/16/2010	
7679575	Tapered slot antenna cylindrical array	"SPAWAR Systems Center, Pacific"	3/16/2010	
7680607	System and method for gas recognition by analysis of bispectrum functions	"SPAWAR Systems Center, Pacific"	3/16/2010	
7677755	Variable orientation appliance mount	"U.S. Army Armament Research, Development and Engineering Center"	3/16/2010	
D611461	Antenna mount actuator adapter	"Tank-Automotive Research, Development and Engineering Center"	3/9/2010	
7675198	"Inductive pulse forming network for high-current, high-power applications"	Naval Postgraduate School	3/9/2010	
7669359	Machine gun accessory mount adapter	"U.S. Army Armament Research, Development and Engineering Center"	3/2/2010	
7669742	Systems for safe carriage and deployment of hand-held non-lethal/lethal deployable devices	"U.S. Army Armament Research, Development and Engineering Center"	3/2/2010	
7672795	Method for sampling seepage	"SPAWAR Systems Center, Pacific"	3/2/2010	
7672231	System for multiplying communications capacity on a time domain multiple access network using slave channeling	"SPAWAR Systems Center, Pacific"	3/2/2010	
7665218	Azimuth measuring apparatus and method	"U.S. Army Armament Research, Development and Engineering Center"	2/23/2010	
7661271	Integrated electric gas turbine	Naval Postgraduate School	2/16/2010	
7661220	Firearm trigger assembly	"U.S. Army Armament Research, Development and Engineering Center"	2/16/2010	
7658029	Vertical fore grip with bipod	"U.S. Army Armament Research, Development and Engineering Center"	2/9/2010	
7658030	Vertical fore grip with bipod	"U.S. Army Armament Research, Development and Engineering Center"	2/9/2010	
7654458	Dual purpose munition	"U.S. Army Armament Research, Development and Engineering Center"	2/2/2010	
7655458	Nucleic acid molecules encoding endostatin protein and peptide fragments thereof	"U.S. Army Armament Research, Development and Engineering Center"	2/2/2010	
7655115	"Long-lived photo-protonated carbocation for photochromic, photoconductive liquids"	"SPAWAR Systems Center, Pacific"	2/2/2010	
7647720	Bore-sight alignment device	"U.S. Army Armament Research, Development and Engineering Center"	1/19/2010	
7646669	Method for measuring flow noise of water over a hydrophone	"SPAWAR Systems Center, Pacific"	1/12/2010	
7646173	Battery safety monitor system	"SPAWAR Systems Center, Pacific"	1/12/2010	
7640690	Stock interface	"U.S. Army Armament Research, Development and Engineering Center"	1/5/2010	
7640688	Adjustable cheek rest and accessory rail for firearms	"U.S. Army Armament Research, Development and Engineering Center"	1/5/2010	
7640689	Hand guard system for use with a firearm	"U.S. Army Armament Research, Development and Engineering Center"	1/5/2010	
7640691	Dual sight scope system and method	"U.S. Army Armament Research, Development and Engineering Center"	1/5/2010	
7637199	Gas cylinder components for use with firearms	"U.S. Army Armament Research, Development and Engineering Center"	12/29/2009	
7635266	Rotary electrical contact device	NAVSEA Crane	12/22/2009	
7634959	Forwardly-placed firearm fire control assembly	"U.S. Army Armament Research, Development and Engineering Center"	12/22/2009	
7631432	Compact multifunction sight	"U.S. Army Armament Research, Development and Engineering Center"	12/15/2009	
7631608	Underwater cable cutter apparatus	"SPAWAR Systems Center, Pacific"	12/15/2009	
7631455	"Quick disconnect bipod mount assembly with adjustable and lockable tilt, pan and cant controls"	"U.S. Army Armament Research, Development and Engineering Center"	12/15/2009	
7632637	Technique for orienting and binding phage for bacteria detection	"SPAWAR Systems Center, Pacific"	12/15/2009	
7632365	Pyrotechnic thermite composition	NAVSEA Crane	12/15/2009	
7627975	Electrified handguard	"U.S. Army Armament Research, Development and Engineering Center"	12/8/2009	
7628509	Variable color LED optical source	"SPAWAR Systems Center, Pacific"	12/8/2009	
7629921	Resonance confocal imaging of resonance control points	"SPAWAR Systems Center, Pacific"	12/8/2009	
7627003	Automatic clock synchronization and distribution circuit for counter clock flow pipelined systems	Naval Postgraduate School	12/1/2009	
7623410	Hard real-time adaptive waveform synthesis and evolution	"SPAWAR Systems Center, Pacific"	11/24/2009	
7621065	Sight devices and related methods	"U.S. Army Armament Research, Development and Engineering Center"	11/24/2009	
7619549	Methods and systems for reducing a sign-bit pulse at a voltage output of a sigma-delta digital-to-analog converter	"U.S. Army Armament Research, Development and Engineering Center"	11/17/2009	
7614175	Method and apparatus for rapid mounting and dismounting of a firearm accessory	"U.S. Army Armament Research, Development and Engineering Center"	11/10/2009	
7616004	Backplane tester and method of use	NAVSEA Crane	11/10/2009	
7614760	Mountable light providing illumination and optionally aiming	"U.S. Army Armament Research, Development and Engineering Center"	11/10/2009	
7614021	Optimal amplifier performance selection method	"SPAWAR Systems Center, Pacific"	11/3/2009	
7602997	Method of super-resolving images	Army Research Laboratory	10/13/2009	
7600476	Geometric/mechanical apparatus to improve well perforator performance	"Army Armament Research, Development & Engineering Center"	10/13/2009	
7600421	Instrumented ballistic test projectile	"U.S. Army Armament Research, Development and Engineering Center"	10/13/2009	
7597717	Rotatable multi-cantilever scanning probe microscopy head	"SPAWAR Systems Center, Pacific"	10/6/2009	
7595176	Methods and reagents for quantitative analysis of Dehalococcoides species	"U.S. Army Armament Research, Development and Engineering Center"	9/29/2009	
7593702	Open-loop RF transmitter output power control for increased power efficiency	"SPAWAR Systems Center, Pacific"	9/22/2009	
7592173	Operationally enhanced bioreactor	NAVSEA Carderock	9/22/2009	
7592962	EPC tapered slot antenna method	"SPAWAR Systems Center, Pacific"	9/22/2009	
7591098	Accessory devices for firearms	"U.S. Army Armament Research, Development and Engineering Center"	9/22/2009	
7589662	Synthetic aperture radar systems and methods	"SPAWAR Systems Center, Pacific"	9/15/2009	
7589827	System and method for detecting an object in a search space	"SPAWAR Systems Center, Pacific"	9/15/2009	
7584567	Hand guard assembly for firearms	"U.S. Army Armament Research, Development and Engineering Center"	9/8/2009	
7586962	Integrated diamond carrier for laser bar arrays	Directed Energy Directorate	9/8/2009	
7582722	Phenylethynylbenzophenone-endcapped hyperbranched poly(arylene-ether-ketone-imides)	Materials & Manufacturing Directorate	9/1/2009	
7581325	Optical sight	"U.S. Army Armament Research, Development and Engineering Center"	9/1/2009	
7582719	Carboxylic-acid-terminated hyperbranched poly(benzoxazole) and the star block copolymers therefrom	Materials & Manufacturing Directorate	9/1/2009	
7582275	Method of processing filamentary nanocarbon	Materials & Manufacturing Directorate	9/1/2009	
7578895	Perchlorate free flash bang compositions for pyrotechnic training rounds	"U.S. Army Armament Research, Development and Engineering Center"	8/25/2009	
7580604	Zero index material omnireflectors and waveguides	"Army Armament Research, Development & Engineering Center"	8/25/2009	
7577169	Time stamping	"SPAWAR Systems Center, Pacific"	8/18/2009	
7577654	Systems and methods for new event detection	Air Force Research Lab	8/18/2009	
7577564	Method and apparatus for detecting illicit activity by classifying whispered speech and normally phonated speech according to the relative energy content of formants and fricatives	Air Force Research Lab	8/18/2009	
7577405	Disposable radio communication device	NAVSEA Newport	8/18/2009	
7573572	Drift tube amplifier and method to amplify current	NAVSEA Crane	8/11/2009	
7571912	"Bullet trapping medium, system for employing said medium and method of use of said medium"	ERDC Geotechnical and Structures Laboratory	8/11/2009	
7571562	Accessory rail for a rifle	"U.S. Army Armament Research, Development and Engineering Center"	8/11/2009	
7573235	Battery charger and power reduction system and method	NAVSEA Crane	8/11/2009	
7568304	Light rail and accessory rail mount for vertical fore grip	"U.S. Army Armament Research, Development and Engineering Center"	8/4/2009	
7566684	Machinery windings of yttrium barium copper oxide and related coated conductor	Propulsion Directorate	7/28/2009	
7563097	Stabilizing hand grip system	"U.S. Army Armament Research, Development and Engineering Center"	7/21/2009	
7562484	Clamp mount	"U.S. Army Armament Research, Development and Engineering Center"	7/21/2009	
7563124	Harvesting power from low-voltage overhead power cables	Sensors Directorate	7/21/2009	
7559236	Portable profiler for profiling a marine biosphere and method of assembling the profiler	"SPAWAR Systems Center, Pacific"	7/14/2009	
7559167	Dual light rails and accessory rail mounts for vertical foregrips	"U.S. Army Armament Research, Development and Engineering Center"	7/14/2009	
7552729	Intubation device and method	Army Medical Research and Materiel Command	6/30/2009	
7552558	Mirror sight apparatus with integral rear sight	"U.S. Army Armament Research, Development and Engineering Center"	6/30/2009	
7554728	Modified gregorian astronomical telescope	Air Force Research Lab	6/30/2009	
7552892	Dual-sliding fin lock assembly	"Army Aviation & Missile Research, Development & Engineering Center"	6/30/2009	
7554090	Apparatus and process for dose-guided radiotherapy	Naval Research Laboratory	6/30/2009	
7549376	Non-lethal projectile carrier	"Army Armament Research, Development & Engineering Center"	6/23/2009	
7549077	"Automated self-forming, self-healing configuration permitting substitution of software agents to effect a live repair of a system implemented on hardware processors"	ERDC Information Technology Laboratory	6/16/2009	
7546806	Selectable output well perforator and method for producing variable hole profiles	"U.S. Army Armament Research, Development and Engineering Center"	6/16/2009	
7548801	Just in time wiring information system	NAVAIR Patuxent River	6/16/2009	
7543780	Unmanned air vehicle transmission line docking surveillance	Sensors Directorate	6/9/2009	
7543405	Adjustable scope mounting system	"U.S. Army Armament Research, Development and Engineering Center"	6/9/2009	
7542483	Recoverable reference clock architecture for SONET/SDH and ethernet mixed bidirectional applications	"U.S. Army Armament Research, Development and Engineering Center"	6/2/2009	
7541995	Electromagnetic signal proximity detection systems and methods	"SPAWAR Systems Center, Pacific"	6/2/2009	
7541062	Thermal control of deposition in dip pen nanolithography	Naval Research Laboratory	6/2/2009	
D593079	Antenna tip-over mount	"Tank-Automotive Research, Development and Engineering Center"	5/26/2009	
7538332	Method of Z-lift electrostatic nanolithography	Materials & Manufacturing Directorate	5/26/2009	
7536821	Cartridge casing catcher with reduced firearm ejection port flash and noise	"Tank-Automotive Research, Development and Engineering Center"	5/26/2009	
7533612	Projectile height of burst determination method and system	"U.S. Army Armament Research, Development and Engineering Center"	5/19/2009	
7533483	Composite magazine for chambering ammunition in a firearm	"U.S. Army Armament Research, Development and Engineering Center"	5/19/2009	
7535617	Portable acousto-optical spectrometers	Army Research Laboratory	5/19/2009	
7532093	RF MEMS series switch using piezoelectric actuation and method of fabrication	Army Research Laboratory	5/12/2009	
7528606	Coupled nonlinear sensor system for sensing a time-dependent target signal and method of assembling the system	"SPAWAR Systems Center, Pacific"	5/5/2009	
7524794	Method for surface treating perlite sorbents for improved adsorbing of vapor phase metals and metal compounds at elevated temperatures	ERDC Construction Engineering Research Laboratory	4/28/2009	
7524460	System and method of molecule counting using fluctuation enhanced sensors	"SPAWAR Systems Center, Pacific"	4/28/2009	
7520083	Mount for firearms	"U.S. Army Armament Research, Development and Engineering Center"	4/21/2009	
7521564	Heterocyclic salts of HBS & HCS	Propulsion Directorate	4/21/2009	
7521224	Microelectronic cell electroporation array	Naval Research Laboratory	4/21/2009	
7517109	Flashlight with rotary head brightness control and detachable tailcap mount	"U.S. Army Armament Research, Development and Engineering Center"	4/14/2009	
7518565	Tapered slot antenna cylindrical array	"SPAWAR Systems Center, Pacific"	4/14/2009	
7518097	Reconfigurable imaging system	"Army Aviation & Missile Research, Development & Engineering Center"	4/14/2009	
7515738	Biometric data collection and storage system	NAVSEA Panama City	4/7/2009	
7506586	Munitions energy system	"U.S. Army Armament Research, Development and Engineering Center"	3/24/2009	
7505601	Efficient spatial separation of speech signals	Human Effectiveness Directorate	3/17/2009	
7504984	Large scale imaging with spatially-coded waveforms	Sensors Directorate	3/17/2009	
7494691	Coating ceramic fiber tows and woven articles	Materials & Manufacturing Directorate	2/24/2009	
7495106	O-aminophenol-containing AB-monomer for heterocyclic rigid-rod polymers	Materials & Manufacturing Directorate	2/24/2009	
7495767	Digital optical method (DOM.TM.) and system for determining opacity	ERDC Construction Engineering Research Laboratory	2/24/2009	
7495764	Coherent radar and ladar polarimeter	Army Space & Missile Defense Command	2/24/2009	
7485908	Insulated gate silicon nanowire transistor and method of manufacture	Sensors Directorate	2/3/2009	
7481176	Transportable flotation system	ERDC Coastal and Hydraulics Laboratory	1/27/2009	
7482273	Transmissive dynamic plasma steering method for radiant electromagnetic energy	Human Effectiveness Directorate	1/27/2009	
7482951	Auditory attitude indicator with pilot-selected audio signals	Human Effectiveness Directorate	1/27/2009	
7478495	Mechanical buffer for shouldered weapon	"U.S. Army Armament Research, Development and Engineering Center"	1/20/2009	
7478580	Sculpted transparent armor	"U.S. Army Armament Research, Development and Engineering Center"	1/20/2009	
7478594	Laser primer	"U.S. Army Armament Research, Development and Engineering Center"	1/20/2009	
